valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.15506844222545624,-0.15014107525348663,-0.15637093782424927,-0.1597287356853485,0.0042897663079202175,0.012746751308441162,-8.0,nan,70.0,2.2978105545043945,0,1,,,,,,,,,,
-0.1399414986371994,-0.13316833972930908,-0.14240199327468872,-0.14525191485881805,0.0056691765785217285,0.017138203606009483,-2.75,-1.2666666507720947,70.0,2.2699570655822754,1,3,,,,,,,,,,
-0.12694457173347473,-0.11943602561950684,-0.12994885444641113,-0.13245569169521332,0.006291012279689312,0.018773317337036133,-1.7983386516571045,-10.0,70.0,2.24629545211792,2,5,,,,,,,,,,
-0.11539287865161896,-0.10751666873693466,-0.11867602914571762,-0.12095348536968231,0.005930423736572266,0.017769675701856613,-10.0,nan,70.0,2.225285768508911,3,7,,,,,,,,,,
-0.10468900203704834,-0.09655170887708664,-0.10816977173089981,-0.11025681346654892,0.006113787647336721,0.018245279788970947,-10.0,nan,70.0,2.205939531326294,4,9,,,,,,,,,,
-0.09459230303764343,-0.08653276413679123,-0.09809853136539459,-0.1000032052397728,0.006084700580686331,0.018103938549757004,-9.31820297241211,-10.0,70.0,2.1878926753997803,5,11,,,,,,,,,,
-0.08471115678548813,-0.07675042748451233,-0.08826012909412384,-0.08994143456220627,0.006007095333188772,0.017948171123862267,-10.0,nan,70.0,2.1708743572235107,6,13,,,,,,,,,,
-0.07491496950387955,-0.06697048991918564,-0.07856182008981705,-0.08000943809747696,0.005960444919764996,0.017944693565368652,-3.2044169902801514,nan,70.0,2.154832601547241,7,15,,,,,,,,,,
-0.06520542502403259,-0.05724595859646797,-0.06897067278623581,-0.07017900794744492,0.005773723125457764,0.01750469207763672,-10.0,-10.0,70.0,2.1397688388824463,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-0.0656113252043724,-0.06274626404047012,-0.0673714280128479,-0.06752976030111313,0.005327960010617971,0.01481064222753048,-10.0,-10.0,70.0,2.148702383041382
-0.055675752460956573,-0.04780120402574539,-0.05950947850942612,-0.0604785792529583,0.005560517311096191,0.016919096931815147,-10.0,nan,70.0,2.125732660293579,9,19,,,,,,,,,,
-0.046410948038101196,-0.03870619088411331,-0.050273168832063675,-0.050997354090213776,0.005375961773097515,0.01637931726872921,-1.6378819942474365,-10.0,70.0,2.112759828567505,10,21,,,,,,,,,,
-0.03756412863731384,-0.03007756546139717,-0.04143413528800011,-0.04190683364868164,0.0052995881997048855,0.01613008975982666,-10.0,-10.0,70.0,2.100904703140259,11,23,,,,,,,,,,
-0.02932490035891533,-0.02205844596028328,-0.03320279344916344,-0.03342728689312935,0.005335509777069092,0.016194622963666916,-10.0,-0.8166667222976685,70.0,2.0902457237243652,12,25,,,,,,,,,,
-0.021925175562500954,-0.014867966994643211,-0.025808025151491165,-0.025808274745941162,0.0053313374519348145,0.016153495758771896,-10.0,-10.0,70.0,2.0808722972869873,13,27,,,,,,,,,,
-0.01560638565570116,-0.008763641119003296,-0.01949223317205906,-0.019273435696959496,0.005198121070861816,0.01577295921742916,-10.0,-10.0,70.0,2.072916269302368,14,29,,,,,,,,,,
-0.010592919774353504,-0.0040374635718762875,-0.014438641257584095,-0.014023649506270885,0.0050655207596719265,0.015384058468043804,-10.0,-3.3333334922790527,70.0,2.066497802734375,15,31,,,,,,,,,,
-0.006926196627318859,-0.000705587852280587,-0.010693669319152832,-0.010119057260453701,0.005004286766052246,0.015188595280051231,-4.616666793823242,nan,70.0,2.0616085529327393,16,33,,,,,,,,,,
-0.004475116729736328,0.0013676285743713379,-0.008167112246155739,-0.007381034083664417,0.00490039587020874,0.014887253753840923,-10.0,0.5833333730697632,70.0,2.058088541030884,17,35,,,,,,,,,,
-0.0029655098915100098,0.002529573393985629,-0.006561982445418835,-0.005643379874527454,0.0047606430016458035,0.014490783214569092,-3.5008246898651123,-10.0,70.0,2.055704116821289,18,37,,,,,,,,,,
,,,,,,,,,,19,39,-0.0032858431804925203,-0.0003253698523622006,-0.005973029416054487,-0.005034673493355513,0.004548033233731985,0.012468874454498291,-1.5555557012557983,-0.37088531255722046,70.0,2.0749382972717285
-0.0020690143574029207,0.003063023090362549,-0.005548834800720215,-0.004522108938544989,0.0046513876877725124,0.014155308715999126,-10.0,-10.0,70.0,2.054150342941284,19,39,,,,,,,,,,
-0.001475775265134871,0.003299540374428034,-0.004811692517250776,-0.0037373541854321957,0.00459917401894927,0.013970136642456055,-10.0,0.5626420378684998,70.0,2.053152084350586,20,41,,,,,,,,,,
-0.0009204089874401689,0.0035764514468610287,-0.004093050956726074,-0.0030947686173021793,0.004563550464808941,0.013849794864654541,-10.0,nan,70.0,2.0524590015411377,21,43,,,,,,,,,,
-0.000370091205695644,0.00392960337921977,-0.0033881664276123047,-0.00253125443123281,0.004542191978543997,0.01378774642944336,-10.0,-0.6857007741928101,70.0,2.0519728660583496,22,45,,,,,,,,,,
8.711814734851941e-05,0.004243725445121527,-0.002800214337185025,-0.002084016799926758,0.0045923194848001,0.013916850090026855,-10.0,-10.0,70.0,2.0516762733459473,23,47,,,,,,,,,,
0.00047753454418852925,0.004551756661385298,-0.00229380140081048,-0.001742672873660922,0.00468627642840147,0.014171878807246685,-8.68710994720459,-10.0,70.0,2.0514824390411377,24,49,,,,,,,,,,
0.0008162319427356124,0.004876166582107544,-0.0018578649032860994,-0.0015011429786682129,0.0047542257234454155,0.014373600482940674,-10.0,-10.0,70.0,2.0513315200805664,25,51,,,,,,,,,,
0.0010640978580340743,0.005144721362739801,-0.001541733741760254,-0.0013518094783648849,0.0048218173906207085,0.014586985111236572,-3.3333334922790527,-10.0,70.0,2.051222324371338,26,53,,,,,,,,,,
0.0012577892048284411,0.005381274502724409,-0.0013118624920025468,-0.00123690371401608,0.004897952079772949,0.014812151901423931,-10.0,-10.0,70.0,2.051100969314575,27,55,,,,,,,,,,
0.0014128268230706453,0.005597621202468872,-0.0011504769790917635,-0.0011407375568524003,0.004952867981046438,0.01496980618685484,-8.00156307220459,nan,70.0,2.0509650707244873,28,57,,,,,,,,,,
,,,,,,,,,,29,59,0.0016748011112213135,0.005380678456276655,-0.00115966796875,-0.0007223725551739335,0.004480700008571148,0.012803753837943077,-10.0,-1.7599327564239502,70.0,2.0651819705963135
0.001566380262374878,0.005841690581291914,-0.001014113426208496,-0.0010488033294677734,0.004975358955562115,0.01504494808614254,-8.000130653381348,0.3297348618507385,70.0,2.0508017539978027,29,59,,,,,,,,,,
0.0017042041290551424,0.00609091529622674,-0.0009254574542865157,-0.0009597420576028526,0.0050520701333880424,0.015275935642421246,-4.300000190734863,-0.36491477489471436,70.0,2.0506365299224854,30,61,,,,,,,,,,
0.0018461287254467607,0.006387806031852961,-0.0008644580957479775,-0.0008794426685199142,0.00517803430557251,0.015639305114746094,-10.0,nan,70.0,2.0504677295684814,31,63,,,,,,,,,,
0.002014511963352561,0.006759458687156439,-0.0008052706834860146,-0.000796413398347795,0.005226652137935162,0.015799641609191895,-10.0,nan,70.0,2.0502960681915283,32,65,,,,,,,,,,
0.002221912145614624,0.007215631194412708,-0.0007111788145266473,-0.0007216930389404297,0.005347013473510742,0.016162415966391563,-10.0,-2.332812786102295,70.0,2.0500826835632324,33,67,,,,,,,,,,
0.0023952722549438477,0.007597482297569513,-0.0006531953695230186,-0.0006338119856081903,0.005514224525541067,0.016635438427329063,-3.0833334922790527,0.0,70.0,2.0498886108398438,34,69,,,,,,,,,,
0.00258691911585629,0.00801814254373312,-0.000586736190598458,-0.0005449056625366211,0.00552163552492857,0.01667543314397335,-10.0,nan,70.0,2.0496935844421387,35,71,,,,,,,,,,
0.0027770281303673983,0.008431834168732166,-0.0005199313163757324,-0.0004543542745523155,0.0056059760972857475,0.016919195652008057,-10.0,-10.0,70.0,2.0495026111602783,36,73,,,,,,,,,,
0.002925485372543335,0.008762175217270851,-0.0004905462265014648,-0.0003624558448791504,0.0057944655418396,0.017443280667066574,-10.0,-1.0,70.0,2.0493369102478027,37,75,,,,,,,,,,
0.003091847989708185,0.00914609432220459,-0.00045627355575561523,-0.0002869725285563618,0.005794167518615723,0.017488321289420128,-10.0,-10.0,70.0,2.049185276031494,38,77,,,,,,,,,,
