valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.1456133872270584,-0.1478264182806015,-0.14523369073867798,-0.14548063278198242,-0.1914539784193039,-0.14245961606502533,-10.0,-10.0,70.0,2.209149122238159,0,1,,,,,,,,,,
-0.14388030767440796,-0.14580564200878143,-0.14363998174667358,-0.14389704167842865,-0.33817198872566223,-0.2788159251213074,-10.0,-10.0,70.0,2.2064764499664307,1,3,,,,,,,,,,
-0.14219850301742554,-0.14392906427383423,-0.1420518308877945,-0.14231687784194946,-0.11485540866851807,-0.10687537491321564,-10.0,-10.0,70.0,2.20387864112854,2,5,,,,,,,,,,
-0.14054109156131744,-0.14212365448474884,-0.1404687762260437,-0.14073656499385834,-0.1571434587240219,-0.011416328139603138,-10.0,-10.0,70.0,2.201307773590088,3,7,,,,,,,,,,
-0.13888293504714966,-0.14032043516635895,-0.1388894021511078,-0.13915282487869263,-0.2008027583360672,-0.04501277208328247,-10.0,-10.0,70.0,2.1987411975860596,4,9,,,,,,,,,,
-0.1372174471616745,-0.13850191235542297,-0.13731083273887634,-0.1375645101070404,-0.12572593986988068,-0.0433800108730793,-10.0,-10.0,70.0,2.196180820465088,5,11,,,,,,,,,,
-0.13554422557353973,-0.13667598366737366,-0.1357259899377823,-0.13596752285957336,-0.09465769678354263,0.008177912794053555,-10.0,-10.0,70.0,2.1936254501342773,6,13,,,,,,,,,,
-0.13387374579906464,-0.13487029075622559,-0.13413557410240173,-0.13436241447925568,-0.0956277847290039,-0.0008769035339355469,-10.0,-10.0,70.0,2.1910789012908936,7,15,,,,,,,,,,
-0.1322181075811386,-0.13312096893787384,-0.13253800570964813,-0.13274741172790527,-0.07002388685941696,-0.01459052599966526,-10.0,-10.0,70.0,2.188532829284668,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-0.1333380788564682,-0.13138654828071594,-0.1343686282634735,-0.13602977991104126,-0.030467534437775612,-1.4545353651046753,-10.0,-10.0,70.0,2.2077138423919678
-0.1305820792913437,-0.13144345581531525,-0.13093201816082,-0.13112249970436096,-0.0891624242067337,-0.007165503688156605,-10.0,-10.0,70.0,2.185981273651123,9,19,,,,,,,,,,
-0.12895236909389496,-0.12980157136917114,-0.12931765615940094,-0.12948709726333618,-0.0075165750458836555,0.009015428833663464,-10.0,-10.0,70.0,2.1834263801574707,10,21,,,,,,,,,,
-0.1273120790719986,-0.12815231084823608,-0.12769187986850739,-0.12783955037593842,-0.08283131569623947,0.028976093977689743,-10.0,-10.0,70.0,2.1808645725250244,11,23,,,,,,,,,,
-0.1256478875875473,-0.12645740807056427,-0.1260553002357483,-0.12617965042591095,-0.05313330888748169,0.02103126049041748,-10.0,-10.0,70.0,2.1782913208007812,12,25,,,,,,,,,,
-0.12395521253347397,-0.12470395863056183,-0.1244063600897789,-0.12450782209634781,-0.10594405978918076,0.034255266189575195,-10.0,-10.0,70.0,2.175708532333374,13,27,,,,,,,,,,
