valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.15640561282634735,-0.16213271021842957,-0.15834948420524597,-0.1489449441432953,0.00960154552012682,0.024757767096161842,0.02351224422454834,0.04895676299929619,5.0,2.2069079875946045,0,1,,,,,,,,,,
-0.15683133900165558,-0.16553544998168945,-0.1583607792854309,-0.14683501422405243,0.01140210684388876,0.03249705955386162,0.026166653260588646,0.05172919109463692,5.0,2.1712429523468018,1,3,,,,,,,,,,
-0.1685633808374405,-0.17488515377044678,-0.1695493459701538,-0.1616986095905304,0.011709475889801979,0.0407310388982296,0.0308527834713459,0.054164182394742966,5.0,2.1610567569732666,2,5,,,,,,,,,,
-0.16699859499931335,-0.17020267248153687,-0.16751758754253387,-0.16377894580364227,0.01204668264836073,0.047014929354190826,0.03390913084149361,0.055374931544065475,5.0,2.123155355453491,3,7,,,,,,,,,,
-0.16744090616703033,-0.17603664100170135,-0.16589049994945526,-0.1603277027606964,0.01232380885630846,0.05134028196334839,0.0356135256588459,0.056319691240787506,5.0,2.10235857963562,4,9,,,,,,,,,,
-0.1829804927110672,-0.1853126883506775,-0.17914462089538574,-0.18491549789905548,0.01258076447993517,0.05413240194320679,0.03774135187268257,0.059324514120817184,5.0,2.0785017013549805,5,11,,,,,,,,,,
-0.2381734400987625,-0.20836110413074493,-0.22797295451164246,-0.28121668100357056,0.012576699256896973,0.05491367727518082,0.03939002752304077,0.061941444873809814,5.0,2.055035352706909,6,13,,,,,,,,,,
-0.28736788034439087,-0.22930023074150085,-0.26781708002090454,-0.3706896901130676,0.012392736040055752,0.05534393712878227,0.041108157485723495,0.06381268799304962,5.0,2.0307812690734863,7,15,,,,,,,,,,
-0.3177551329135895,-0.24373085796833038,-0.2884814739227295,-0.4287094473838806,0.012110590934753418,0.057534683495759964,0.04399935156106949,0.06634219735860825,5.0,2.0088624954223633,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-0.4165823757648468,-0.2743295729160309,-0.36015990376472473,-0.6236631870269775,0.011391544714570045,0.05104377493262291,0.039813555777072906,0.062249328941106796,5.0,1.9592171907424927
-0.4507269859313965,-0.269519180059433,-0.38483795523643494,-0.7145817279815674,0.011717271991074085,0.060798000544309616,0.04842642694711685,0.06889326870441437,5.0,1.9824602603912354,9,19,,,,,,,,,,
-0.6652052402496338,-0.2994726896286011,-0.5302184820175171,-1.198230504989624,0.011231064796447754,0.06473272293806076,0.05386084318161011,0.0698077604174614,5.0,1.9587939977645874,10,21,,,,,,,,,,
-0.8141172528266907,-0.3329274654388428,-0.6481374502182007,-1.5051095485687256,0.010732126422226429,0.06988262385129929,0.05863543599843979,0.0707886815071106,5.0,1.9344303607940674,11,23,,,,,,,,,,
-1.127305507659912,-0.38262465596199036,-0.9066135287284851,-2.1579947471618652,0.009923601523041725,0.07590538263320923,0.06276395171880722,0.07358615845441818,5.0,1.9110233783721924,12,25,,,,,,,,,,
-1.4841039180755615,-0.4148443639278412,-1.2140971422195435,-2.9125277996063232,0.008984267711639404,0.08368714898824692,0.06850933283567429,0.07869601249694824,5.0,1.8900035619735718,13,27,,,,,,,,,,
-1.7114503383636475,-0.4692106246948242,-1.5317249298095703,-3.2385621070861816,0.008173751644790173,0.09302612394094467,0.07453041523694992,0.08737504482269287,5.0,1.8698713779449463,14,29,,,,,,,,,,
-1.9538873434066772,-0.5362146496772766,-1.9632470607757568,-3.4782779216766357,0.0071107386611402035,0.10433927923440933,0.07890684902667999,0.10184714943170547,5.0,1.8485742807388306,15,31,,,,,,,,,,
